,courseid,name,companyid,serialid,creditvalue,exam,publishdate,tags,visit,study,warenum,type,duration,page,label
43,6914,富士康供应商协同管理平台介绍---系列课程,1,1,4.5,1,2017/12/7 0:00,"供应商,供应链,品质管理",136433,18979,12.0,pdf,0.0,1.0,3
44,1020,解决问题的九大步骤,2,1,0.5,1,2017/5/27 0:00,"解决问题的九大步骤,IE,IE知识,解决问题,九大步骤,改善",63630,18483,1.0,pdf,0.0,27.0,3
45,5281,有效沟通与团队协作,2,5,4.0,1,2017/9/28 0:00,"团队协作,沟通,连系",122071,18430,8.0,mp4,513.0,0.0,3
46,12868,C次集团成都厂区2019年应急处理知识及技能培训,530,1,3.0,1,2019/7/22 9:45,应急处理,46781,18197,1.0,pdf,0.0,157.0,3
47,13117,2019年中秋国庆假期安全知识培训,530,8,1.5,1,2019/9/3 13:43,EHS在职训,33549,17584,1.0,pdf,0.0,80.0,1
48,13336,劳保用品管理培训,276,9,0.5,0,2019/10/8 9:16,安全培训,27486,17471,1.0,pdf,0.0,18.0,1
49,12985,《机械安全操作规范课程培训》,276,9,1.0,0,2019/8/10 14:04,安全培训,27400,17396,1.0,pdf,0.0,56.0,1
50,6866,乐业、敬业、精业——打造良好的职业道德,334,5,2.0,1,2017/12/5 0:00,"职场提升,职场素质,职场素养,职场道德,职业精神,敬业",99670,17381,4.0,mp4,450.0,0.0,3
51,13162,CNC防火管控知识培训,276,9,0.0,0,2019/9/9 14:13,CNC防火管控知识培训,27866,17088,1.0,pdf,0.0,13.0,1
52,1037,品质意识,2,1,1.0,1,2017/5/27 0:00,"品质意识,线组长,现场管理,质量管理,意识",77988,17086,1.0,pdf,0.0,33.0,3
53,13163,急救相关知识培训,276,9,0.5,0,2019/9/9 14:22,安全培训,28246,17085,1.0,pdf,0.0,29.0,1
54,13657,2020年McEBG成都厂区元旦春节假期与开工安全知识培训,530,1,3.0,1,2019/12/19 8:50,2020年McEBG成都厂区元旦春节假期与开工安全知识培训,38523,17027,2.0,pdf,0.0,72.0,1
55,13335,明火作业安全培训,276,9,1.0,0,2019/10/8 9:10,安全培训,29374,16935,1.0,pdf,0.0,34.0,1
56,13628,交通安全人人守,276,9,1.0,0,2019/12/11 15:14,安全培训,30335,16855,1.0,pdf,0.0,33.0,1
57,12131,节能基础知识,126,1,1.0,1,2019/4/12 14:01,节能,42215,16797,1.0,pdf,0.0,37.0,3
58,2872,QC七大手法,2,1,0.5,1,2017/7/29 0:00,"QC七大手法,质量管理,品质,QC手法,主管培训,QC",59538,16782,1.0,pdf,0.0,30.0,3
59,13804,Fii深圳厂区员工复工防疫指南(必修),138,1,3.0,1,2020/2/13 17:11,"复工防疫指南,指南",99158,16555,9.0,pdf,0.0,33.0,3
60,1708,线组长培训,2,1,11.5,1,2017/6/6 0:00,"现场管理实务,线组长,异常处理,现场安全,生产管理,现场管理",104813,16528,18.0,pdf,0.0,33.0,3
61,2606,早安富士康专辑02号,2,8,5.5,1,2017/7/24 0:00,"早安富士康,健康,生活常识,富士康,养生,生活技能",58748,16524,5.0,pdf,0.0,55.0,3
62,12656,ISO45001:2018基础知识介绍,530,9,2.0,1,2019/6/21 11:36,"ISO45001,ISO45001基础知识介绍,基础知识,介绍,体系,标准,45001,法律法规,职业健康安全,健康,安全,ISO45001:2018",49282,16447,1.0,pdf,0.0,92.0,3
63,518,影响沟通的因素,2,5,0.5,1,2017/5/23 0:00,"影响沟通的因素 ,沟通技巧 ,人际交往 ,社交 ,主管培训 ,沟通",57752,16325,1.0,pdf,0.0,25.0,3
64,1192,现场管理实务之一,2,1,1.0,1,2017/5/31 0:00,"现场管理实务 ,线组长 ,异常处理,现场安全,生产管理,现场管理",64393,16217,1.0,pdf,0.0,36.0,3
65,2697,人资政策,2,1,1.0,1,2017/7/26 0:00,"人资政策,人事规章,人事制度,新人训,人资,人事",53415,16183,1.0,pdf,0.0,36.0,3
66,13425,居家安全,276,9,1.0,0,2019/11/9 14:20,安全培训,30153,16179,1.0,pdf,0.0,44.0,1
67,13627,防火知识,276,9,1.0,0,2019/12/11 15:06,安全培训,28422,16078,1.0,pdf,0.0,32.0,1
68,8744,QC七大手法之柏拉图,2,1,0.5,0,2018/3/28 0:00,"QC七大手法,质量管理,品质,改善,柏拉图",67852,16000,1.0,pdf,0.0,22.0,3
69,1098,IE基础之一,2,1,1.0,1,2017/5/27 0:00,"IE基础,线组长,IE工具,IE,现场人因,现场改善",75429,15946,2.0,pdf,0.0,15.0,3
70,12733,晋城园区环保手续知识培训,276,9,0.5,0,2019/7/6 8:44,晋城园区环保手续知识培训,29519,15938,1.0,pdf,0.0,18.0,1
71,13644,环保离我们的生活有多远,276,9,1.0,0,2019/12/13 14:57,环保离我们的生活有多远,26684,15937,1.0,pdf,0.0,31.0,1
72,2611,早安富士康专辑03号,2,8,6.0,1,2017/7/24 0:00,"早安富士康,生活技能,健康,生活常识,保养,小技巧",52134,15907,4.0,pdf,0.0,67.0,3
73,13414,工业废气处理工艺解析,276,9,0.5,0,2019/11/6 9:17,环境安全培训,27405,15776,1.0,pdf,0.0,27.0,1
74,12732,晋城园区废水管理要求,276,9,0.5,0,2019/7/6 8:41,晋城园区废水管理要求,27709,15747,1.0,pdf,0.0,17.0,1
75,12129,供应链安全,126,1,1.5,1,2019/4/12 13:45,供应链,39594,15741,1.0,pdf,0.0,61.0,1
76,2589,18个经典培训故事,2,8,1.0,1,2017/7/24 0:00,"18个经典培训故事,经典,培训故事,生活常识类,哲学,培训",45762,15635,1.0,pdf,0.0,36.0,1
77,13739,环境保护意识培训,276,9,1.0,0,2020/1/7 14:05,环境安全培训,27432,15334,1.0,pdf,0.0,40.0,1
78,1838,工会关爱,2,1,1.0,1,2017/6/12 0:00,"工会关爱,工会,关爱,员工福利",56900,15061,1.0,pdf,0.0,33.0,3
79,2632,OKRs 管理,2,5,6.0,1,2017/7/25 0:00,"OKRs管理,目标与关键成果,管理,OKRs,职场技能,领导力培训",102318,15039,6.0,pdf,0.0,31.0,3
80,601,人际沟通,2,5,1.0,1,2017/5/25 0:00,"人际沟通 ,线组长 ,人际交往 ,社交 ,主管培训 ,沟通",67225,14998,1.0,pdf,0.0,38.0,3
81,12600,iLVBG企业文化,401,9,1.5,1,2019/6/6 13:35,企业文化,77132,14822,1.0,mp4,3725.0,0.0,3
82,11468,冬季常见传染病防控宣教,276,9,1.0,1,2018/11/5 0:00,处级课程,34277,14789,1.0,pdf,0.0,39.0,1
83,1703,管理者的角色与思维,2,5,1.0,1,2017/6/6 0:00,"角色,思维,认知,目标,规划,实现,创新,激励,团队,突破性思维",76866,14500,2.0,mp4,1397.0,0.0,3
84,12112,品质微课堂--品质意识,276,9,0.5,0,2019/4/9 14:03,品质微课堂--品质意识,81190,14459,1.0,mp4,1154.0,0.0,3
85,2600,如何掌控自己的时间和生活,2,8,1.0,1,2017/7/24 0:00,"如何掌控自己的时间和生活,时间管理,时间,生活常识类,人生,百科",45166,14451,1.0,pdf,0.0,50.0,1
86,13178,危险废物管理知识,276,9,1.0,0,2019/9/11 16:31,环境安全培训,23217,14397,1.0,pdf,0.0,41.0,1
87,11756,春节安全教育,276,9,1.0,1,2019/1/7 8:45,安全教育,28132,14169,1.0,pdf,0.0,60.0,1
88,2888,层次分析法,2,1,0.5,1,2017/7/29 0:00,"层次分析法,层次分析,层次,IE知识,IE,精益生产",48458,14040,1.0,pdf,0.0,29.0,1
89,2884,JIT基础,2,1,0.5,1,2017/7/29 0:00,"JIT基础,准时化,准时制,IE知识,JIT,精益生产",47362,13980,1.0,pdf,0.0,25.0,1
90,629,价值工程,2,1,0.5,1,2017/5/25 0:00,"IE,IE知识,价值,IE技术,价值工程,价值提升",48040,13889,1.0,pdf,0.0,18.0,1
91,9053,2018新人辅导员岗前培训,179,9,4.5,1,2018/4/16 0:00,辅导员培训,43809,13815,6.0,pdf,0.0,33.0,1
92,3646,手机基础知识,2,2,0.0,0,2017/8/22 0:00,"师级干部,手机,发展史,电路,结构,介绍",65771,13812,1.0,pdf,0.0,12.0,3
93,11872,交通安全人人守,276,9,1.0,1,2019/2/14 14:11,处级课程,27567,13765,1.0,pdf,0.0,33.0,1
94,3843,SMT三大关键工序介绍,2,2,0.5,0,2018/2/1 0:00,"生产,SMT,技术,工艺",70985,13591,1.0,mp4,599.0,0.0,3
95,10680,职业健康相关知识培训,276,9,0.5,1,2018/8/4 0:00,处级课程,32353,13567,1.0,pdf,0.0,19.0,1
96,397,电子商务与物流配送,2,7,0.5,1,2017/5/23 0:00,"电子商务 ,市场营销 ,商务 ,3C ,知识",48063,13528,1.0,pdf,0.0,20.0,1
97,13761,春节假期安全宣导,276,9,0.5,0,2020/1/13 19:48,假期安全培训,22115,13431,1.0,pdf,0.0,28.0,1
98,626,动作经济原则,2,1,0.5,1,2017/5/25 0:00,"IE,IE技巧,IE手法,IE技术,动作原则,经济原则",45798,13397,1.0,pdf,0.0,16.0,1
99,1783,IQC进料检验及异常处理,2,1,0.5,1,2017/6/12 0:00,"IQC进料检验及异常处理,质量检验,进料检验,品质管理,品质,IQC",42727,13397,1.0,pdf,0.0,15.0,1
100,1714,IPQC制程检验及异常处理,2,1,0.5,1,2017/6/7 0:00,"IPQC制程检验及异常处理,质量检验,制程检验,品质管理,品质,IPQC",45469,13385,1.0,pdf,0.0,21.0,1
101,635,精益生产,2,1,0.5,1,2017/5/25 0:00,"IE,IE知识,IE技巧,精益生产,精益,改善",47582,13366,1.0,pdf,0.0,28.0,1
102,1209,现场管理实务之二,2,1,0.5,1,2017/5/31 0:00,"现场管理实务 ,线组长,异常处理,现场安全,生产管理,现场管理",46329,13364,1.0,pdf,0.0,15.0,1
103,2615,早安富士康专辑04号,2,8,4.0,1,2017/7/24 0:00,"早安富士康,生活技能,健康,生活常识,习惯,小技巧",42348,13347,6.0,pdf,0.0,36.0,1
104,1111,IE基础之三,2,1,1.0,1,2017/5/27 0:00,"IE基础,线组长,IE工具,IE,现场人因,现场改善",58252,13340,3.0,pdf,0.0,32.0,1
105,11167,心生活 新素养之你我诚信 共享真心,179,9,1.0,1,2018/9/14 0:00,你我诚信 共享真心,62068,13294,1.0,mp4,3070.0,0.0,3
106,611,IE五项作业分析,2,1,0.5,1,2017/5/25 0:00,"IE,作业分析,IE手法,IE技术,五项作业,五项分析",44531,13294,1.0,pdf,0.0,16.0,1
107,927,TPM全面生产维护,2,1,1.0,1,2017/5/27 0:00,"IE,生产,TPM,维护",39958,13068,1.0,pdf,0.0,31.0,1
108,12185,品质——ISO9001:2015基础知识,276,9,1.0,0,2019/4/23 8:41,品质——ISO9001:2015基础知识,29306,13003,1.0,pdf,0.0,32.0,1
109,1721,IE基础知识（IE特工队）,2,1,4.0,1,2017/6/7 0:00,"IE,价值工程,动作经济,目视管理,ECRS,现场",72790,12920,8.0,mp4,317.0,0.0,3
110,1215,现场管理实务之三,2,1,0.5,1,2017/5/31 0:00,"现场管理实务 ,线组长,异常处理,现场安全,生产管理,现场管理",43713,12836,1.0,pdf,0.0,23.0,1
111,1835,心灵工作坊,2,5,1.0,1,2017/6/12 0:00,"心灵工作坊,线组长,情绪管理,压力管理,主管培训,工作坊",52096,12833,1.0,pdf,0.0,39.0,1
112,2616,早安富士康专辑05号,2,8,4.0,1,2017/7/24 0:00,"早安富士康,运动,健康,肌力,有氧",39470,12785,4.0,pdf,0.0,68.0,1
113,12130,员工安全教育,126,1,1.0,1,2019/4/12 13:54,安全教育,35567,12785,1.0,pdf,0.0,31.0,1
114,13424,冬春季传染病防相关知识,276,9,1.0,0,2019/11/9 14:17,安全培训,23822,12730,1.0,pdf,0.0,39.0,1
115,12883,诚功信途管理篇-核心知识点,179,1,0.0,0,2019/7/24 15:12,诚功信徒管理篇-核心知识点,42763,12711,1.0,pdf,0.0,1.0,1
116,3771,创新与突破性思维,2,5,3.0,1,2017/8/25 0:00,"创新,突破性思维,团队",70726,12645,6.0,mp4,854.0,0.0,3
117,11999,亲密关系,276,8,1.5,0,2019/3/20 9:36,女性关爱系列培训,80096,12549,1.0,mp4,3676.0,0.0,3
118,641,学习曲线,2,1,0.5,1,2017/5/25 0:00,"IE知识,学习效率,学习曲线,作业效率,工时,改善",41405,12544,1.0,pdf,0.0,19.0,1
119,11577,防火知识与应急处理,276,9,1.0,1,2018/12/5 10:05,处级课程,31035,12467,1.0,pdf,0.0,32.0,1
120,3466,品质意识,2,1,0.5,0,2017/8/14 0:00,"品质意识,质量测量,质量管控,品质管理,品质,品管",67759,12449,1.0,pdf,0.0,21.0,3
121,484,使用计算机的不良姿势,2,1,0.5,1,2017/5/23 0:00,"IE ,IE知识 ,人因工程 ,人因改善 ,办公人因 ,办公改善 ",39324,12444,1.0,pdf,0.0,30.0,1
122,10682,安全知识课程培训,276,9,1.0,1,2018/8/4 0:00,处级课程,28019,12351,1.0,pdf,0.0,60.0,1
123,12184,品质——ISO14001:2015基础知识,276,9,0.5,0,2019/4/23 8:33,品质——ISO14001:2015基础知识,23847,12323,1.0,pdf,0.0,17.0,1
124,933,生产现场8S管理,2,1,0.5,1,2017/5/27 0:00,"生产,现场,8S,管理,IE",37002,12244,1.0,pdf,0.0,30.0,1
125,12984,《明火作业安全培训》,276,9,1.0,0,2019/8/10 13:49,安全培训,20327,12240,1.0,pdf,0.0,34.0,1
126,938,现场目视化管理,2,1,1.0,1,2017/5/27 0:00,"现场,目视化,IE,管理",35125,12211,1.0,pdf,0.0,38.0,1
127,5240,如何有效地激励人心,2,5,3.0,1,2017/9/26 0:00,"激励,团队,绩效",74926,12194,6.0,mp4,541.0,0.0,3
128,12609,6月份处级课程——雨污分流,276,9,0.5,0,2019/6/11 9:30,6月份处级课程——雨污分流,24670,12074,1.0,pdf,0.0,25.0,1
129,8543,驻厂管理员培训,179,9,8.5,1,2018/3/5 0:00,富士康,35838,12059,13.0,pdf,0.0,21.0,1
130,1219,TPM全面生产维护,2,1,0.5,1,2017/5/31 0:00,"TPM全面生产维护,IE知识,IE,TPM,全面生产维护,全员维护",41510,11908,1.0,pdf,0.0,26.0,1
131,5333,教练领导力,2,5,2.5,1,2017/9/29 0:00,"目标,反馈,教练",66678,11905,5.0,mp4,500.0,0.0,1
132,1693,员工激励,2,1,0.5,1,2017/6/6 0:00,"员工激励,激励,鼓励,人资培训,激励方法,激励政策",57074,11775,1.0,pdf,0.0,22.0,1
133,830,市场营销知识,2,7,1.0,1,2017/5/26 0:00,"知识,市场营销,3C,产品",36947,11550,1.0,pdf,0.0,31.0,1
134,10918,iDPBG ZZ 2019新人训电子书,179,5,9.5,1,2018/8/20 0:00,"人事规章,生产安全,消防安全,权利义务",43850,11275,10.0,pdf,0.0,46.0,1
135,9919,2018年职业道德,179,5,1.5,1,2018/6/20 0:00,职业道德，职业操守，素养,36864,11258,1.0,pdf,0.0,65.0,1
136,1404,电话销售礼仪,2,7,0.5,1,2017/6/1 0:00,"电话,销售,销售礼仪,营销",36039,11248,1.0,pdf,0.0,29.0,1
137,1790,产品标识追溯与不合格品处理,2,1,0.5,1,2017/6/12 0:00,"产品标识追溯与不合格品处理,质量测量,产品标识,品质管理,品质,不良追溯",37615,11179,1.0,pdf,0.0,19.0,1
138,1836,冲突管理,2,5,0.5,1,2017/6/12 0:00,"冲突管理,线组长,冲突,异常处理,领导力,情绪控制",48045,11152,1.0,pdf,0.0,27.0,1
139,9422,工业互联网平台五问,2,3,2.0,0,2018/5/11 0:00,"工业互联网,互联网,工业4.0",48957,11096,1.0,pdf,0.0,100.0,1
140,10387,【人工智能基础】培训 总部周边专班 课程视频（讲师：陈育良）,2,3,3.0,0,2018/7/13 0:00,"人工智能基础,总部周边,陈育良",65271,11090,3.0,mp4,3279.0,0.0,1
141,1785,OQC出货及异常处理,2,1,0.5,1,2017/6/12 0:00,"OQC出货及异常处理,质量检验,出货检验,品质管理,品质,OQC",32879,11081,1.0,pdf,0.0,15.0,1
142,3976,如何成为优秀的主管(管理篇),2,5,5.0,1,2017/8/28 0:00,"管理,文化,主管,绩效,管理风格",75707,10962,6.0,mp4,2747.0,0.0,3
143,1132,工作教导,2,1,0.5,1,2017/5/27 0:00,"工作教导,线组长,生产管理,生产现场,工作,教导",45047,10875,1.0,pdf,0.0,21.0,1
144,12992,《安全与责任》,276,9,1.0,0,2019/8/10 14:32,安全培训,17082,10574,1.0,pdf,0.0,41.0,1
145,12991,《防雨防汛培训》,276,9,1.0,0,2019/8/10 14:29,安全培训,16142,10566,1.0,pdf,0.0,33.0,1
146,11171,心生活 新素养之心怀感恩 砥砺前行,179,9,1.0,1,2018/9/14 0:00,心怀感恩 砥砺前行,45882,10557,1.0,mp4,3215.0,0.0,1
147,8903,品质意识,126,1,1.0,1,2018/4/10 0:00,"廊坊厂区IDL新人训,IDL,新人训,品质意识",28618,10445,1.0,pdf,0.0,31.0,1
148,12202,SER知识普及宣导-师级,179,5,25.0,0,2019/4/24 16:43,iDPBG 2019年SER 知识普及宣导&ISO9001资讯安全,40447,10436,13.0,pdf,0.0,120.0,1
149,1104,IE基础之二,2,1,0.0,1,2017/5/27 0:00,"IE基础,线组长,IE工具,IE,现场人因,现场改善",57479,10329,2.0,pdf,0.0,11.0,1
150,1406,行之有效的客户开发术——电话促销,2,7,1.0,1,2017/6/1 0:00,"电话,电话促销,电话约访,营销",32939,10293,1.0,pdf,0.0,41.0,1
151,1314,人际关系的处理技巧,2,5,0.5,0,2017/5/31 0:00,"人际关系,职场关系,交往,关系",53711,10258,1.0,pdf,0.0,20.0,1
152,11596,一、二、三类津贴岗位技能考核,276,2,1.0,0,2018/12/7 9:19,岗位技能考核,71502,10198,7.0,pdf,0.0,19.0,1
153,512,人际沟通,2,5,0.5,0,2017/5/23 0:00,"人际沟通 ,沟通技巧 ,人际交往 ,社交 ,主管培训 ,沟通",55864,10088,1.0,pdf,0.0,23.0,1
154,1364,IE与提案改善简介,2,1,1.0,0,2017/6/1 0:00,"IE ,菁干班 ,提案,改善 ,效益,提升 ",52178,10088,1.0,pdf,0.0,35.0,1
155,9113,高效15法则,179,5,2.5,1,2018/4/18 0:00,"2018,课级,书籍阅读",28001,9883,1.0,pdf,0.0,135.0,1
156,1351,网页制作技巧,2,3,12.0,0,2017/6/1 0:00,"网页 ,网页制作 ,制作技巧 ,网页技巧 ",61917,9871,12.0,pdf,0.0,26.0,1
157,925,SMED快速换模,2,1,1.0,1,2017/5/27 0:00,"IE,现场,换模,制造",25839,9791,1.0,pdf,0.0,45.0,1
158,13525,资讯安全教育训练（通识类）,138,1,0.5,1,2019/11/25 14:58,"资安,资讯安全",51079,9749,1.0,mp4,1631.0,0.0,1
159,1536,养生之道,2,8,0.5,1,2017/6/2 0:00,"养生,平衡饮食,有养运动,养生之道",29165,9708,1.0,pdf,0.0,17.0,1
160,12989,《职业健康相关知识培训》,276,9,0.5,0,2019/8/10 14:22,安全培训,15780,9707,1.0,pdf,0.0,19.0,1
161,1431,有效的营销沟通技巧,2,7,1.5,1,2017/6/1 0:00,"观察技巧,聆听技巧,沟通技巧,沟通内容",30600,9699,1.0,pdf,0.0,77.0,1
162,935,色彩环境的人因工程学分析,2,1,1.0,1,2017/5/27 0:00,"色彩,环境,人因,工程学,IE",24490,9675,1.0,pdf,0.0,32.0,1
163,749,小米4c旗舰新品沟通会PPT精选,2,7,2.5,1,2017/5/25 0:00,"小米,小米4s,升级版,小巧,相机",26586,9589,1.0,pdf,0.0,145.0,1
164,1372, 生产线平衡,2,1,0.5,0,2017/6/1 0:00,"IE ,菁干班 ,线平衡,步骤,工序,改善",51009,9492,1.0,pdf,0.0,29.0,1
165,8895,COC富士康行为规范,126,1,1.0,1,2018/4/9 0:00,"IDL新人训,COC富士康行为规范,COC,廊坊厂区IDL新人训",22487,9447,1.0,pdf,0.0,58.0,1
166,13807,防疫专案联防组织运作培训,276,9,0.5,1,2020/2/14 14:08,防疫专案联防组织运作培训,49219,9327,1.0,mp4,872.0,0.0,1
167,1683,学习管理,257,5,0.0,0,2017/6/6 0:00,"学习,下班,恐慌,充电,竞争力",55616,9311,5.0,mp4,90.0,0.0,1
168,1513,如何与学员互动,1,1,3.0,1,2017/6/2 0:00,"互动,种类,提问",104639,9302,6.0,mp4,756.0,0.0,3
169,3347,工程经济学,2,1,6.0,1,2017/8/10 0:00,"工程经济学,IE知识,IE,经济学,消费者行为,工程",29017,9289,8.0,pdf,0.0,38.0,1
170,3068,SER稽核流程,2,1,0.5,0,2017/8/2 0:00,"SER培训,EICC,审核,稽核,流程,分析",48269,9233,1.0,pdf,0.0,24.0,1
171,13372,品质意识与品管手法,276,9,1.0,1,2019/10/22 9:53,上岗证培训,25575,9230,1.0,pdf,0.0,43.0,1
172,13375,机台作业规范,276,9,1.0,1,2019/10/22 10:21,上岗证培训,24154,9197,1.0,pdf,0.0,41.0,1
